,openness_to_experience,honesty_humility,extraversion,emotionality,agreeableness,conscientiousness
0,3.6,3.7,,2.8,3.1,3.5
1,3.6,3.7,3.5,3.0,3.0,3.5
2,3.6,3.8,3.4,2.8,3.2,3.5
3,3.4,3.9,3.5,3.1,3.0,3.6
4,3.6,3.7,3.7,3.2,3.0,3.6
5,3.7,3.7,3.3,3.2,3.1,3.6
6,3.7,3.7,3.4,3.1,3.0,3.5
7,,3.7,3.6,3.0,3.1,3.4
8,3.6,3.7,3.4,3.0,3.1,3.5
9,3.5,3.7,3.5,3.0,3.1,3.6
10,3.5,3.9,3.5,3.1,3.1,3.5
11,3.4,3.7,3.4,3.2,3.0,3.5
12,3.5,3.7,3.4,2.9,3.2,3.5
13,3.4,3.8,3.5,3.0,3.1,3.6
14,3.5,3.8,3.5,3.2,3.2,3.7
15,3.5,3.8,3.4,2.9,3.1,
16,3.4,3.8,3.4,3.1,3.2,3.7
17,3.7,3.7,,3.1,3.0,3.6
18,3.4,3.7,3.4,3.1,3.2,3.4
19,3.4,3.6,3.4,3.1,3.2,3.6
20,3.5,3.7,3.5,3.0,3.0,3.6
21,3.5,3.7,,3.1,3.2,3.6
22,3.5,3.9,3.3,2.9,3.0,3.5
23,3.5,3.8,,3.1,3.1,3.5
24,3.6,3.7,3.4,3.2,3.0,3.5
25,3.5,3.7,3.4,2.8,3.2,3.3
26,3.7,3.8,3.4,2.8,3.4,3.6
27,3.4,3.7,3.5,3.1,3.1,3.6
28,3.6,3.8,3.4,3.1,3.1,3.5
29,3.6,3.8,3.5,3.0,3.1,
30,3.4,3.9,3.4,3.1,3.1,3.4
31,3.6,3.8,3.3,3.1,3.3,3.6
32,3.5,3.6,,2.9,3.1,3.5
33,3.4,3.6,,3.1,3.1,3.5
34,3.6,3.8,3.4,3.2,3.2,3.4
35,3.5,3.7,,3.1,3.1,3.5
36,3.6,3.8,,3.1,3.3,3.5
37,3.6,3.8,3.3,3.1,3.1,3.5
38,3.6,3.7,,3.1,3.3,3.5
39,3.6,3.9,3.6,3.1,3.1,3.6
40,3.5,3.8,3.5,3.0,3.0,3.5
41,3.6,3.7,3.4,,3.2,3.5
42,3.6,3.5,3.4,3.3,3.0,3.5
43,3.5,3.7,3.4,3.1,3.1,3.5
44,3.6,3.8,3.5,3.1,3.1,3.5
45,3.6,3.6,3.3,2.7,3.1,3.6
46,3.7,3.6,3.5,2.9,3.2,3.5
47,3.6,3.6,3.3,3.0,3.1,3.5
48,3.5,3.8,3.3,2.9,3.0,3.3
49,3.5,3.9,3.5,3.1,3.1,3.4
50,,3.7,,3.1,3.0,3.5
51,3.6,3.7,3.6,2.8,3.1,3.5
52,3.6,3.8,3.3,3.1,3.1,3.8
53,3.6,3.9,3.4,3.1,3.1,3.5
54,3.6,3.7,3.4,3.1,3.2,3.4
55,3.6,3.9,3.5,3.1,3.0,3.7
56,3.6,3.7,3.4,3.1,3.1,3.5
57,3.5,3.8,3.6,3.1,3.1,3.5
58,3.5,3.8,,3.1,3.2,3.4
59,3.6,3.7,3.4,3.2,3.2,3.6
60,3.5,3.8,3.4,,3.2,3.4
61,3.4,3.6,3.5,3.0,3.1,3.5
62,3.6,3.9,3.5,2.9,3.2,3.6
63,3.5,3.8,3.4,3.1,3.1,3.5
64,3.6,3.8,3.5,3.0,3.2,3.4
65,3.5,3.8,3.3,3.2,3.0,3.6
66,3.5,3.9,3.4,3.1,3.1,3.6
67,3.5,3.7,3.5,3.1,3.0,3.7
68,3.6,3.8,3.6,2.9,3.0,3.4
69,3.5,3.6,3.5,3.1,3.2,3.6
70,3.5,3.8,3.4,3.2,3.1,3.5
71,3.5,3.7,3.4,2.9,3.1,3.4
72,3.5,3.7,3.4,3.1,3.1,3.4
73,3.4,3.8,3.4,3.0,3.1,3.5
74,3.6,3.7,3.4,3.0,3.3,3.4
75,3.5,3.9,3.5,2.9,3.3,3.5
76,3.6,3.6,3.5,2.9,3.1,3.5
77,3.5,,,3.2,3.1,3.5
78,3.4,3.8,3.3,2.7,3.0,3.5
79,3.5,3.7,3.5,3.2,3.2,3.4
80,3.5,3.8,3.5,3.0,3.1,3.5
81,3.5,3.8,3.4,2.9,3.0,3.5
82,3.5,3.8,3.6,3.1,3.1,
83,3.4,3.8,3.4,3.2,3.1,3.5
84,3.6,3.7,3.6,2.9,3.1,3.6
85,3.6,3.6,,3.2,3.2,3.5
86,3.5,3.8,,3.2,3.2,3.4
87,3.5,3.6,,3.0,3.0,3.6
88,3.6,3.6,,3.0,3.1,3.5
89,3.6,3.7,3.6,3.1,3.2,
90,3.6,3.7,3.3,3.1,3.0,3.5
91,3.7,4.0,3.6,3.2,3.2,3.5
92,3.4,3.8,3.5,3.2,3.1,3.5
93,3.5,3.9,3.5,3.1,3.3,3.4
94,3.5,3.9,3.4,3.1,3.2,3.3
95,3.6,3.7,3.5,3.1,3.0,3.4
96,3.6,3.6,3.4,3.0,3.1,3.5
97,3.6,3.7,,3.0,3.1,3.4
98,3.6,3.8,3.6,3.2,3.1,3.6
99,3.7,3.7,3.6,3.0,3.0,3.5
