temp,Conformity,Tradition,Benevolence,Universalism,Self-Direction,Stimulation,Hedonism,Achievement,Power,Security
0.0,4.0,4.0,6.0,5.333333333333333,5.5,4.0,4.0,5.0,5.0,6.0
0.1,5.0,6.0,6.0,6.0,6.0,5.0,5.5,6.0,6.0,6.0
0.2,5.0,5.25,6.0,6.0,6.0,5.0,5.5,6.0,6.0,6.0
0.3,5.0,5.0,6.0,6.0,6.0,5.0,5.5,6.0,6.0,6.0
0.4,5.0,5.0,6.0,6.0,6.0,5.0,5.5,6.0,6.0,6.0
0.5,5.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0
0.6,4.25,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0
0.7,4.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0
0.8,4.25,5.0,6.0,6.0,6.0,5.0,5.0,5.5,5.0,6.0
0.9,4.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0
1.0,4.0,5.0,6.0,5.833333333333334,6.0,5.0,5.0,5.0,5.0,6.0
TOT,5.0,5.0,6.0,6.0,6.0,5.0,5.5,6.0,6.0,6.0
