0,1,2,3,4,5,6
0.2,0.4,0.6,0.8,0.0,1.0,TOT
2.0 (nan),2.21 (0.25),2.19 (0.26),2.19 (0.26),2.12 (0.25),2.17 (0.28),2.17 (0.26)
3.0 (nan),2.83 (0.52),2.76 (0.61),2.74 (0.55),2.62 (0.75),2.75 (0.65),2.74 (0.62)
5.0 (nan),5.15 (0.29),5.27 (0.36),5.34 (0.42),5.33 (0.4),5.4 (0.47),5.3 (0.4)
5.0 (nan),5.34 (0.43),5.39 (0.42),5.38 (0.44),5.35 (0.44),5.5 (0.47),5.39 (0.44)
5.5 (nan),5.5 (0.31),5.47 (0.42),5.37 (0.44),5.39 (0.47),5.37 (0.47),5.42 (0.43)
6.0 (nan),5.32 (0.97),5.27 (0.92),5.37 (0.86),5.38 (0.93),4.91 (1.21),5.25 (0.99)
5.0 (nan),4.42 (0.55),4.06 (0.9),4.06 (0.95),3.81 (1.12),3.68 (1.1),4.01 (0.98)
4.0 (nan),3.88 (0.3),3.83 (0.33),3.79 (0.4),3.83 (0.41),3.9 (0.39),3.85 (0.37)
3.0 (nan),2.92 (0.18),2.89 (0.23),2.89 (0.26),2.94 (0.34),2.97 (0.37),2.92 (0.29)
3.0 (nan),2.81 (0.45),2.73 (0.49),2.65 (0.54),2.6 (0.57),2.67 (0.53),2.69 (0.52)
